"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Text Editing","Zoom In","⌘+","Editing Text"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"File","Refresh","F5","In Windows"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"View","Zoom Out","⌘-","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Text Editing","Text Start","↖","Editing Text"
"Search","Open Search Dialog","⌃H","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"Text Editing","Text End","⌘↘","Editing Text"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Navigate","Open Spring Bean","⌥⇧B","In Windows"
"File","Print","⌘P","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Run/Debug","Debug Spring Boot App","⌥⇧D B","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Task Repositories","New Subtask","⌥⇧N","In Tasks View"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Navigate","Previous","⇧⌘.","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥⇧T","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Window","Close Dialog","⌘W","In Dialogs"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Run/Debug","Inspect","⇧⌘I","Chromium Debug"
"Run/Debug","Terminate","⌘F2","Debugging"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Text Editing","Next Word","⌥→","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Run/Debug","Run AspectJ/Java Application","⌥⇧X C","In Windows"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Uncategorized","Add Artifact to Target Platform","⌥⇧⌘A","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks View"
"Navigate","Open Declaration","F3","In Windows"
"Window","Next View","⌘F7","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Server","Debug","⌥⌘D","In Servers View"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Window","Previous View","⇧⌘F7","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Delete Line","⌘D","Editing Text"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"File","Properties","⌥↩","In Windows"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Navigate","Beans Quick Outline","⇧⌘O","Editing in Structured Text Editors"
"Navigate","Beans Quick Cross References","⌥⇧G","Editing Text"
"YEdit","Format","⇧⌘F","YEdit editor context"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
